ticker,security,gics_sector,level_score,level_intensity_tco2e_per_usd,scope1_is_estimated,scope2_is_estimated,velocity_score,velocity_basis,velocity_details,integrity_score,integrity_disclosure_quality,integrity_cross_source_agreement,integrity_basis,environmental_composite_score
UNH,UnitedHealth Group,Health Care,100.0,3.8450168263156883e-07,False,False,100.0,measured_trend,"Measured: 131,593 -> 24,487 tCO2e over 3 yr(s) (12/31/2021 baseline, 2024 assumed current year) = 27.13%/yr observed vs. 4.2%/yr required (1.5C pathway).",99.0,100.0,97.4,with_cross_validation,99.7
LHX,L3Harris,Industrials,98.6,1.11114650210742e-05,False,False,100.0,measured_trend,"Measured: 109,574 -> 49,788 tCO2e over 5 yr(s) (12/31/2019 baseline, 2024 assumed current year) = 10.91%/yr observed vs. 4.2%/yr required (1.5C pathway).",97.9,100.0,94.8,with_cross_validation,98.8
AFL,Aflac,Financials,98.0,5.656096016051224e-07,False,False,100.0,measured_trend,"Measured: 3,499 -> 2,850 tCO2e over 1 yr(s) (12/31/2023 baseline, 2024 assumed current year) = 18.55%/yr observed vs. 4.2%/yr required (1.5C pathway).",97.8,100.0,94.4,with_cross_validation,98.6
AIZ,Assurant,Financials,95.4,9.140768041872577e-07,False,False,100.0,measured_trend,"Measured: 2,132 -> 1,282 tCO2e over 3 yr(s) (12/31/2021 baseline, 2024 assumed current year) = 13.29%/yr observed vs. 4.2%/yr required (1.5C pathway).",97.6,100.0,94.0,with_cross_validation,97.7
ADBE,Adobe Inc.,Information Technology,98.7,1.1708865723520327e-06,False,False,100.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 1/1 for a net-zero target (Targets set) = 5/5 -> 100.0.,93.7,90.0,99.2,with_cross_validation,97.5
PANW,Palo Alto Networks,Information Technology,98.4,1.3418988948560772e-06,False,False,100.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 1/1 for a net-zero target (Targets set) = 5/5 -> 100.0.,93.1,90.0,97.7,with_cross_validation,97.2
ECL,Ecolab,Materials,100.0,2.184830030592627e-05,False,False,100.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 1/1 for a net-zero target (Targets set) = 5/5 -> 100.0.,90.8,90.0,92.1,with_cross_validation,96.9
HUBB,Hubbell Incorporated,Industrials,95.5,2.0354186868478708e-05,False,False,100.0,measured_trend,"Measured: 50,740 -> 38,382 tCO2e over 2 yr(s) (12/31/2022 baseline, 2024 assumed current year) = 12.18%/yr observed vs. 4.2%/yr required (1.5C pathway).",94.9,100.0,87.3,with_cross_validation,96.8
AMP,Ameriprise Financial,Financials,94.1,1.085034496447408e-06,False,False,100.0,measured_trend,"Measured: 7,687 -> 5,899 tCO2e over 5 yr(s) (12/31/2019 baseline, 2024 assumed current year) = 4.65%/yr observed vs. 4.2%/yr required (1.5C pathway).",95.4,100.0,88.6,with_cross_validation,96.5
V,Visa Inc.,Financials,99.9,3.129608020193295e-07,False,False,100.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 1/1 for a net-zero target (Targets set) = 5/5 -> 100.0.,88.8,90.0,86.9,with_cross_validation,96.2
