parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,percentage_of_operation,source_id,source_name,source_sector,source_subsector,iso3_country
Government of Aruba ,E100001011500,state,549300KCP2OHANSCXH27,4297062124,,ABW,100,Government of Aruba  -> Utilities Aruba NV [100.0%] -> Water- en Energiebedrijf Aruba NV [100.0%] -> RECIP power plant [100.0%],,Water- en Energiebedrijf Aruba NV,E100001010551,,,,25452484,RECIP power plant,power,electricity-generation,ABW
Utilities Aruba NV,E100001011499,legal entity,not found,5050713575,ABW,ABW,100,Utilities Aruba NV -> Water- en Energiebedrijf Aruba NV [100.0%] -> RECIP power plant [100.0%],,Water- en Energiebedrijf Aruba NV,E100001010551,,,,25452484,RECIP power plant,power,electricity-generation,ABW
Ministry of Energy and Water (Afghanistan) ,E100000187841,state body,not found,not found,,AFG,,Ministry of Energy and Water (Afghanistan)  -> North West Kabul thermal power plant [unknown %],,Ministry of Energy and Water (Afghanistan) ,E100000187841,,,,49529246,North West Kabul thermal power plant,power,electricity-generation,AFG
Government of Afghanistan ,E100001013528,state,,5000891033,AFG,AFG,,Government of Afghanistan  -> Ministry of Energy and Water (Afghanistan)  [100.0%] -> North West Kabul thermal power plant [unknown %],,Ministry of Energy and Water (Afghanistan) ,E100000187841,,,,49529246,North West Kabul thermal power plant,power,electricity-generation,AFG
United States Agency for International Development ,E100001011141,state body,not found,5001115853,USA,USA,100,United States Agency for International Development  -> Tarakhil power station [100.0%],,United States Agency for International Development ,E100001011141,,,,5532,Tarakhil power station,power,electricity-generation,AFG
Novonor SA,E100001014506,legal entity,not found,4295859730,BRA,BRA,40,Novonor SA -> Companhia de Bioenergia de Angola Lda [40.0%] -> Biocom power station [100.0%],,Companhia de Bioenergia de Angola Lda,E100000132609,,,,451344,Biocom power station,power,electricity-generation,AGO
Sonangol EP,E100000000004,legal entity,254900JSN3Z8XJUIC270,5000035131,AGO,AGO,20,Sonangol EP -> Companhia de Bioenergia de Angola Lda [20.0%] -> Biocom power station [100.0%],,Companhia de Bioenergia de Angola Lda,E100000132609,,,,451344,Biocom power station,power,electricity-generation,AGO
Government of Angola ,E100001012407,state,549300QHR2R3J8JSGK83,5000026488,AGO,AGO,20,Government of Angola  -> Sonangol EP [100.0%] -> Companhia de Bioenergia de Angola Lda [20.0%] -> Biocom power station [100.0%],,Companhia de Bioenergia de Angola Lda,E100000132609,,,,451344,Biocom power station,power,electricity-generation,AGO
Cochan SA,E100002018470,legal entity,not found,5083439848,AGO,AGO,40,Cochan SA -> Companhia de Bioenergia de Angola Lda [40.0%] -> Biocom power station [100.0%],,Companhia de Bioenergia de Angola Lda,E100000132609,,,,451344,Biocom power station,power,electricity-generation,AGO
Public Electricity Production Co,E100001012011,legal entity,not found,5051601964,AGO,AGO,,Public Electricity Production Co -> Central de Quileva power plant [unknown %],,Public Electricity Production Co,E100001012011,,,,4407501,Central de Quileva power plant,power,electricity-generation,AGO
Government of Angola ,E100001012407,state,549300QHR2R3J8JSGK83,5000026488,AGO,AGO,,Government of Angola  -> Public Electricity Production Co [100.0%] -> Central de Quileva power plant [unknown %],,Public Electricity Production Co,E100001012011,,,,4407501,Central de Quileva power plant,power,electricity-generation,AGO
Sonagás ,E100000004067,legal entity,not found,not found,GNQ,GNQ,100,Sonagás  -> Soyo power station [100.0%],,Sonagás ,E100000004067,,,,452522,Soyo power station,power,electricity-generation,AGO
