ticker,security,epa_parent_company,epa_scope1_tco2e,facility_count
ABBV,AbbVie,ABBVIE INC,99777.824,2
ABT,Abbott Laboratories,ABBOTT LABORATORIES,134386.892,4
ADI,Analog Devices,ANALOG DEVICES INC,117771.628108,3
ADM,Archer Daniels Midland,ARCHER DANIELS MIDLAND CO,10585367.605999999,18
AEE,Ameren,AMEREN CORP,19669522.87,11
AEP,American Electric Power,AMERICAN ELECTRIC POWER CO INC,50834862.764,25
AES,AES Corporation,AES CORP,15677526.790000001,9
ALB,Albemarle Corporation,ALBEMARLE CORP,229671.722,3
AMGN,Amgen,AMGEN INC,61780.352,1
APA,APA Corporation,APA CORP,1302769.998,13
ARES,Ares Management,ARES MANAGEMENT CORP,1817717.564,1
ATO,Atmos Energy,ATMOS ENERGY CORP,130555.092,3
AVGO,Broadcom,BROADCOM INC,34457.051985,1
BA,Boeing,THE BOEING CO,151144.82200000001,4
BAX,Baxter International,BAXTER INTERNATIONAL INC,43203.836,1
BF.B,Brown-Forman,BROWN-FORMAN CORP,90072.76000000001,2
BIIB,Biogen,BIOGEN INC,28268.192,1
BLK,BlackRock,BLACKROCK INC,383163.06,1
BRK.B,Berkshire Hathaway,BERKSHIRE HATHAWAY INC,79105267.13000001,117
CAT,Caterpillar Inc.,CATERPILLAR INC,456901.738,7
CEG,Constellation Energy,CONSTELLATION ENERGY CORP,8941320.546,10
CF,CF Industries,CF INDUSTRIES HOLDINGS INC,20579424.174,6
CMS,CMS Energy,CMS ENERGY CORP,17183100.39,11
CNP,CenterPoint Energy,CENTERPOINT ENERGY INC,3741577.852,2
COP,ConocoPhillips,CONOCOPHILLIPS,1321893.682,7
CTVA,Corteva,CORTEVA INC,82753.73999999999,2
CVX,Chevron Corporation,CHEVRON CORP,20881977.004,31
D,Dominion Energy,DOMINION ENERGY INC,28458582.87399999,27
DAL,Delta Air Lines,DELTA AIR LINES INC,1256096.862,2
DE,Deere & Company,DEERE & CO,45075.88,1
DOW,Dow Inc.,DOW INC,16976174.548,16
DTE,DTE Energy,DTE ENERGY CO,24233789.841999996,23
DUK,Duke Energy,DUKE ENERGY CORP,73283559.93,40
DVN,Devon Energy,DEVON ENERGY CORP,336286.372,6
ED,Consolidated Edison,CONSOLIDATED EDISON INC,2463230.61,5
EIX,Edison International,EDISON INTERNATIONAL,1056295.236,1
