ticker,revenue_usd,employees,sector,industry,market_cap,fetch_error
MMM,25180000256,60500,Industrials,Conglomerates,85078728704,
AOS,3804900096,11500,Industrials,Specialty Industrial Machinery,7799793152,
ABT,46584999936,122000,Healthcare,Medical Devices,176412573696,
ABBV,64385998848,57000,Healthcare,Drug Manufacturers - General,454361186304,
ACN,73100591104,799000,Technology,Information Technology Services,112536141824,
ADBE,25198000128,31360,Technology,Software - Application,100261421056,
AMD,41305001984,31000,Technology,Semiconductors,842569351168,
AES,13054000128,8336,Utilities,Utilities - Diversified,10551757824,
AFL,18069000192,12716,Financial Services,Insurance - Life,57794854912,
A,7372000256,18200,Healthcare,Diagnostics & Research,41429237760,
APD,12602200064,21087,Basic Materials,Specialty Chemicals,64897245184,
ABNB,13159000064,8200,Consumer Cyclical,Travel Services,101907333120,
AKAM,4322833920,11000,Technology,Software - Infrastructure,15347496960,
ALB,5907904000,7800,Basic Materials,Specialty Chemicals,13867954176,
ARE,2840326912,514,Real Estate,REIT - Office,8800952320,
ALGN,4139532032,20435,Healthcare,Medical Instruments & Supplies,10714231808,
ALLE,4288499968,13300,Industrials,Security & Protection Services,13040391168,
LNT,4429000192,2948,Utilities,Utilities - Regulated Electric,17439490048,
ALL,70137004032,53000,Financial Services,Insurance - Property & Casualty,64152592384,
GOOGL,445865984000,198933,Communication Services,Internet Content & Information,4139833098240,
GOOG,445865984000,198933,Communication Services,Internet Content & Information,4102531842048,
MO,20444000256,5900,Consumer Defensive,Tobacco,115178938368,
AMZN,775680032768,1595000,Consumer Cyclical,Internet Retail,2769709432832,
AMCR,23505999872,75000,Consumer Cyclical,Packaging & Containers,19566469120,
AEE,8410999808,8913,Utilities,Utilities - Regulated Electric,29040859136,
AEP,22791000064,17581,Utilities,Utilities - Regulated Electric,67140530176,
AXP,70912999424,76800,Financial Services,Credit Services,219266351104,
AIG,26738999296,22100,Financial Services,Insurance - Diversified,39389544448,
AMT,10941500416,4866,Real Estate,REIT - Specialty,82871001088,
AWK,5283999744,7000,Utilities,Utilities - Regulated Water,27362996224,
AMP,19839000576,13600,Financial Services,Asset Management,49255481344,
AME,7863923200,22500,Industrials,Specialty Industrial Machinery,55451418624,
AMGN,38094999552,31500,Healthcare,Drug Manufacturers - General,204007489536,
APH,29011599360,170000,Technology,Electronic Components,206943928320,
ADI,13881744384,24500,Technology,Semiconductors,183543709696,
AON,17577000960,60000,Financial Services,Insurance Brokers,64208248832,
APA,8572000256,1791,Energy,Oil & Gas E&P,15671223296,
APO,35598000128,6140,Financial Services,Asset Management,76168257536,
AAPL,466822987776,150000,Technology,Consumer Electronics,4849207869440,
AMAT,30837000192,38900,Technology,Semiconductor Equipment & Materials,362269278208,
APP,6829124096,876,Communication Services,Advertising Agencies,108830965760,
APTV,20518000640,140000,Consumer Cyclical,Auto Parts,9455622144,
ACGL,19232000000,8000,Financial Services,Insurance - Diversified,32788705280,
ADM,82099003392,40798,Consumer Defensive,Farm Products,41795534848,
ARES,5987594752,4343,Financial Services,Asset Management,43674984448,
ANET,10540800000,5115,Technology,Computer Hardware,251727839232,
AJG,15109000192,67456,Financial Services,Insurance Brokers,61603868672,
AIZ,13456199680,14800,Financial Services,Insurance - Property & Casualty,13931991040,
T,127238995968,133030,Communication Services,Telecom Services,178573164544,
ATO,4921525760,5487,Utilities,Utilities - Regulated Gas,27577243648,
ADSK,7790000128,14300,Technology,Software - Application,44391600128,
ADP,21947400192,67000,Technology,Software - Application,106569711616,
AZO,19986403328,78000,Consumer Cyclical,Auto Parts,,
AVY,9248100352,35000,Consumer Cyclical,Packaging & Containers,12836996096,
AXON,3219098880,5100,Industrials,Aerospace & Defense,38940344320,
BKR,27725000704,54000,Energy,Oil & Gas Equipment & Services,58627330048,
BALL,14325999616,16000,Consumer Cyclical,Packaging & Containers,15855731712,
BAC,113931001856,211000,Financial Services,Banks - Diversified,438375383040,
BAX,11470000128,37500,Healthcare,Medical Instruments & Supplies,12304504832,
BDX,22484000768,72000,Healthcare,Medical Instruments & Supplies,48443998208,
BRK.B,384687013888,387800,Financial Services,Insurance - Diversified,1092553998336,
BBY,42201001984,82000,Consumer Cyclical,Specialty Retail,19043274752,
TECH,1215038976,3000,Healthcare,Biotechnology,11309731840,
BIIB,10027899904,7500,Healthcare,Drug Manufacturers - General,32084781056,
BLK,27299000320,26200,Financial Services,Asset Management,175417425920,
BX,15483307008,5285,Financial Services,Asset Management,153607716864,
XYZ,25041963008,10205,Technology,Software - Infrastructure,47588970496,
BNY,21415000064,46500,Financial Services,Banks - Diversified,110365483008,
BA,93994999808,182000,Industrials,Aerospace & Defense,166333366272,
BKNG,28241000448,25550,Consumer Cyclical,Travel Services,130680094720,
BSX,20995999744,59000,Healthcare,Medical Devices,62287884288,
BMY,49186000896,32500,Healthcare,Drug Manufacturers - General,129998356480,
AVGO,89103998976,33000,Technology,Semiconductors,1728006324224,
BR,7476800000,16000,Technology,Information Technology Services,19126018048,
BRO,6663000064,22888,Financial Services,Insurance Brokers,22147860480,
BF.B,3915000064,4900,Consumer Defensive,Beverages - Wineries & Distilleries,12031420416,
BLDR,14448703488,28000,Industrials,Building Products & Equipment,6495598080,
BG,91818999808,34000,Consumer Defensive,Farm Products,23517302784,
BXP,3190220032,826,Real Estate,REIT - Office,11702768640,
CHRW,16996511744,11599,Industrials,Integrated Freight & Logistics,17852534784,
CDNS,5837622784,15445,Technology,Software - Application,79690465280,
CPT,1581868032,1640,Real Estate,REIT - Residential,11921612800,
COF,48109998080,78400,Financial Services,Credit Services,127788900352,
CAH,254247993344,58788,Healthcare,Medical Distribution,54555291648,
CCL,27310999552,160000,Consumer Cyclical,Travel Services,31159517184,
CARR,22108000256,47000,Industrials,Building Products & Equipment,47365718016,
CVNA,25058000896,23100,Consumer Cyclical,Auto & Truck Dealerships,76661358592,
CASY,18672330752,23490,Consumer Cyclical,Specialty Retail,22747873280,
CAT,74728996864,118000,Industrials,Farm & Heavy Construction Machinery,376276058112,
CBOE,5061300224,1661,Financial Services,Financial Data & Stock Exchanges,29349294080,
CBRE,43711000576,155000,Real Estate,Real Estate Services,40688222208,
CDW,23500400640,14800,Technology,Information Technology Services,19226429440,
COR,332771328000,47000,Healthcare,Medical Distribution,61364293632,
CNC,180304003072,61100,Healthcare,Healthcare Plans,32811147264,
CNP,9619999744,8794,Utilities,Utilities - Regulated Electric,25762549760,
CF,7738999808,2900,Basic Materials,Agricultural Inputs,20138565632,
CRL,3998987008,18300,Healthcare,Diagnostics & Research,13403152384,
SCHW,26025000960,33700,Financial Services,Capital Markets,185471254528,
