ticker,upright_is_estimated,upright_peer_group_used,upright_peer_count,upright_revenue_musd,upright_employee_count,net_impact_ratio_percent,rank_top_percent,environment_cost_cents_per_dollar,environment_benefit_cents_per_dollar,ghg_emissions_cost_cents_per_dollar,ghg_emissions_benefit_cents_per_dollar,non_ghg_emissions_cost_cents_per_dollar,society_cost_cents_per_dollar,society_benefit_cents_per_dollar,health_cost_cents_per_dollar,health_benefit_cents_per_dollar,knowledge_cost_cents_per_dollar,knowledge_benefit_cents_per_dollar,upright_estimate_notes
AXON,True,sub_industry:Aerospace & Defense,11,3219.1,5100,-62.0,90.0,-13.2,0.9,-6.6,0.6,-2.1,-6.3,15.7,-8.0,1.7,-3.1,1.8,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Aerospace & Defense' (11 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
CTSH,True,sector:Information Technology,65,21642.0,356700,27.0,44.0,-6.5,0.4,-2.8,0.3,-0.8,-0.3,10.5,-1.2,1.2,-4.4,4.7,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Information Technology' (65 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
COIN,True,sub_industry:Financial Exchanges & Data,8,6043.8,4951,23.0,48.0,-1.95,0.15000000000000002,-0.9500000000000001,0.1,-0.25,-0.6,6.85,-0.4,0.9500000000000001,-6.05,3.55,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Financial Exchanges & Data' (8 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
ED,True,sub_industry:Multi-Utilities,10,17689.0,15407,0.0,66.5,-26.15,6.45,-14.95,5.5,-3.75,-1.25,25.2,-2.6,0.45,-3.3499999999999996,0.55,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Multi-Utilities' (10 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
CRWD,True,sub_industry:Systems Software,5,5396.1,11706,44.0,27.0,-4.1,0.3,-1.8,0.2,-0.5,-0.3,13.0,-1.0,1.7,-6.1,6.4,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Systems Software' (5 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
DECK,True,sector:Consumer Discretionary,44,5527.3,6000,-32.5,81.5,-15.5,0.9,-6.85,0.6,-2.1,-0.5,11.5,-2.45,2.6500000000000004,-2.75,0.2,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Consumer Discretionary' (44 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
DPZ,True,sub_industry:Restaurants,5,5027.8,6200,-56.0,89.0,-18.4,0.6,-5.8,0.5,-2.8,-0.5,9.9,-11.0,7.3,-1.7,0.0,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Restaurants' (5 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
FICO,True,sub_industry:Application Software,12,2393.6,3876,40.5,31.0,-4.6,0.4,-2.05,0.3,-0.55,-0.2,12.0,-0.8,1.0,-5.5,4.65,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Application Software' (12 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
FDXF,True,sector:Industrials,78,8795.0,40000,-0.5,66.0,-12.4,1.6,-6.45,1.0,-2.0,-0.4,13.8,-1.75,1.6,-2.3,0.7,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Industrials' (78 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
GEHC,True,sub_industry:Health Care Equipment,13,21266.0,54000,55.0,16.0,-5.5,0.2,-2.3,0.1,-0.6,-0.5,9.7,-2.6,13.6,-3.1,0.6,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Health Care Equipment' (13 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
