ticker,security,upright_company_name,industry,revenue_musd,employee_count,net_impact_ratio_percent,rank_top_percent,environment_cost_cents_per_dollar,environment_benefit_cents_per_dollar,ghg_emissions_cost_cents_per_dollar,ghg_emissions_benefit_cents_per_dollar,non_ghg_emissions_cost_cents_per_dollar,society_cost_cents_per_dollar,society_benefit_cents_per_dollar,health_cost_cents_per_dollar,health_benefit_cents_per_dollar,knowledge_cost_cents_per_dollar,knowledge_benefit_cents_per_dollar,largest_cost,largest_benefit,upright_url
WMT,WALMART,WALMART,Retail,648125.0,2100000.0,-20.0,77.0,-15.2,0.9,-7.1,0.6,-2.2,-0.4,12.5,-5.3,6.5,-3.6,0.3,GHG emissions 110M tons of GHG emissions,Taxes 597M days of primary education,https://uprightplatform.com/company/d093d98d-7c71-4597-8233-ac1ab7a1e8fc/Walmart/
AMZN,AMAZON,AMAZON,Retail,742776.0,1575000.0,-5.0,69.0,-8.8,0.6,-4.0,0.4,-1.0,-0.4,11.1,-2.4,2.3,-5.0,2.0,Scarce human capital 508k scarce worker years,Taxes 646M days of primary education,https://uprightplatform.com/company/5f9171f9-3030-4773-94eb-853601d02f99/Amazon/
UNH,UNITEDHEALTH,UNITEDHEALTH,Insurance,400278.0,400000.0,57.0,15.0,-1.8,0.0,-0.6,,-0.2,-1.0,9.2,-0.9,9.7,-5.2,1.9,Scarce human capital 343k scarce worker years,Physical diseases 2.13M life years,https://uprightplatform.com/company/624a39cb-b949-46aa-a5a7-9b16cbd95feb/UnitedHealth/
AAPL,APPLE,APPLE,Consumer Product Manufacturing,416161.0,166000.0,20.0,50.0,-7.5,0.5,-2.7,0.3,-0.7,-0.6,9.4,-4.3,3.2,-4.3,7.8,Scarce human capital 273k scarce worker years,Taxes 345M days of primary education,https://uprightplatform.com/company/d1df56f3-4ce3-4167-a713-c6aeba7e26f1/Apple/
CVS,CVS HEALTH,CVS HEALTH,Hospitals and Healthcare,372809.0,300000.0,56.0,16.0,-4.6,0.2,-1.9,0.1,-0.7,-1.1,11.7,-2.4,17.2,-5.3,0.9,Scarce human capital 322k scarce worker years,Physical diseases 4.28M life years,https://uprightplatform.com/company/a31e688e-36ab-4f7c-9c89-c80b03c605d3/CVS%20Health/
GOOGL,ALPHABET,ALPHABET,Computer Software,350018.0,187103.0,52.0,20.0,-4.0,0.1,-1.5,0.1,-0.2,-0.3,9.0,-3.3,1.4,-6.2,18.1,Scarce human capital 326k scarce worker years,Distributing knowledge 95.1k days of BBC news,https://uprightplatform.com/company/c4c9afcf-6eff-4af6-a659-350c0fc469a2/Alphabet/
GOOG,ALPHABET,ALPHABET,Computer Software,350018.0,187103.0,52.0,20.0,-4.0,0.1,-1.5,0.1,-0.2,-0.3,9.0,-3.3,1.4,-6.2,18.1,Scarce human capital 326k scarce worker years,Distributing knowledge 95.1k days of BBC news,https://uprightplatform.com/company/c4c9afcf-6eff-4af6-a659-350c0fc469a2/Alphabet/
COR,"CENCORA, INC","CENCORA, INC",Pharmaceuticals and Biotechnology,325777.78,51000.0,37.0,35.0,-7.5,0.3,-3.4,0.1,-1.1,-0.5,10.4,-2.2,11.3,-4.4,1.0,Scarce human capital 234k scarce worker years,Physical diseases 2.53M life years,https://uprightplatform.com/company/69f5685c-206e-4bc2-8313-ad3df05bba84/Cencora%2C%20Inc/
JPM,JPMORGAN CHASE,JPMORGAN CHASE,Banks,,,-5.0,,,,,,,,,,,,,Scarce human capital 268k scarce worker years,Societal infrastructure 253M long-haul train rides,https://uprightplatform.com/company/ff302c8b-a4be-41ac-8380-1f08da896f27/JPMorgan%20Chase/
CI,CIGNA,CIGNA,Insurance,247121.0,73500.0,60.0,12.0,-5.1,0.7,-2.2,0.7,-1.2,-1.4,13.2,-2.1,17.2,-4.9,2.8,Scarce human capital 199k scarce worker years,Physical diseases 2.71M life years,https://uprightplatform.com/company/43769174-532f-4aad-84a6-2745984ced39/Cigna/
MSFT,MICROSOFT,MICROSOFT,Computer Software,245122.0,221000.0,35.0,37.0,-3.7,0.3,-1.7,0.2,-0.3,-0.3,10.9,-1.9,2.3,-6.0,4.7,Scarce human capital 239k scarce worker years,Taxes 274M days of primary education,https://uprightplatform.com/company/7f880866-d248-44aa-beac-dd2256fe8b8c/Microsoft/
CAH,CARDINAL HEALTH,CARDINAL HEALTH,Hospitals and Healthcare,226827.0,57700.0,52.0,19.0,-7.7,0.2,-3.3,0.1,-1.0,-0.5,8.5,-2.4,19.2,-2.9,0.0,GHG emissions 18.1M tons of GHG emissions,Physical diseases 3.33M life years,https://uprightplatform.com/company/9c57667c-eb1a-4a97-9b84-aa3e644dcd41/Cardinal%20Health/
CVX,CHEVRON,CHEVRON,Energy and Environmental,202792.0,45298.0,-105.0,96.0,-32.7,0.9,-18.4,0.6,-6.1,-1.9,19.2,-6.6,0.8,-2.4,0.4,GHG emissions 89.3M tons of GHG emissions,Societal infrastructure 753M long-haul train rides,https://uprightplatform.com/company/704b2a91-d3b8-4a43-849f-2ba799575be5/Chevron/
BAC,BANK OF AMERICA,BANK OF AMERICA,Banks,192434.0,213000.0,1.0,65.0,-2.1,0.1,-1.1,0.1,-0.3,-0.6,6.7,-0.3,0.5,-6.2,2.0,Scarce human capital 197k scarce worker years,Taxes 100M days of primary education,https://uprightplatform.com/company/08fb13a2-68f4-489a-a868-ee9eeb38db11/Bank%20of%20America/
GM,GENERAL MOTORS,GENERAL MOTORS,Automotive,187442.0,162000.0,-51.0,87.0,-23.8,2.2,-13.1,1.5,-5.0,-0.4,17.7,-6.9,2.0,-2.3,0.2,GHG emissions 58.8M tons of GHG emissions,Societal infrastructure 539M long-haul train rides,https://uprightplatform.com/company/459d1070-384a-4a27-833a-373e21266373/General%20Motors/
F,FORD MOTOR,FORD MOTOR,Automotive,184992.0,171000.0,-41.0,85.0,-23.5,2.2,-12.7,1.5,-4.7,-0.4,18.7,-6.6,2.0,-2.5,0.4,GHG emissions 56.1M tons of GHG emissions,Societal infrastructure 573M long-haul train rides,https://uprightplatform.com/company/25f9dcfa-1830-406a-a2b6-17bde5e74da9/Ford%20Motor/
ELV,ELEVANCE HEALTH,ELEVANCE HEALTH,Insurance,177011.0,96129.0,51.0,20.0,-3.0,0.1,-1.2,0.1,-0.5,-1.1,10.5,-1.2,9.5,-4.9,0.9,Scarce human capital 142k scarce worker years,Physical diseases 993k life years,https://uprightplatform.com/company/cc9136fb-958d-4a6b-a1d1-f62afbdbc372/Elevance%20Health/
C,CITIGROUP,CITIGROUP,Financial Services,170757.0,239000.0,16.0,53.0,-1.8,0.2,-0.9,0.1,-0.2,-0.3,7.4,-0.2,0.6,-5.5,1.2,Scarce human capital 155k scarce worker years,Societal infrastructure 186M long-haul train rides,https://uprightplatform.com/company/db6cbfea-3c91-43b7-9638-3fcefd683956/Citigroup/
CNC,CENTENE,CENTENE,Hospitals and Healthcare,163071.0,61100.0,42.0,29.0,-1.9,0.1,-0.8,0.0,-0.3,-1.4,9.9,-0.7,5.0,-4.8,0.2,Scarce human capital 128k scarce worker years,Jobs 833k direct or indirect jobs,https://uprightplatform.com/company/ed622de1-68bc-4cbf-ae57-54f656cb1edc/Centene/
HD,HOME DEPOT,HOME DEPOT,Retail,159514.0,470000.0,-34.0,82.0,-14.9,1.2,-7.6,0.7,-2.2,-0.3,12.9,-2.3,1.5,-3.5,0.1,GHG emissions 29.2M tons of GHG emissions,Taxes 148M days of primary education,https://uprightplatform.com/company/4929d60a-46d9-4f36-affd-02d6e2b65a6d/Home%20Depot/
KR,KROGER,KROGER,Retail,147225.0,409000.0,-24.0,79.0,-14.9,0.9,-7.0,0.6,-2.2,-0.6,14.4,-6.9,5.3,-4.0,0.7,GHG emissions 24.8M tons of GHG emissions,Taxes 150M days of primary education,https://uprightplatform.com/company/78452f07-a1e1-470d-a1db-b4b60ea2d3c8/Kroger/
PSX,PHILLIPS 66,PHILLIPS 66,Energy and Environmental,145496.0,14000.0,-83.0,93.0,-27.2,1.7,-15.1,1.1,-4.9,-0.9,17.0,-4.6,0.8,-3.1,0.1,GHG emissions 52.6M tons of GHG emissions,Societal infrastructure 407M long-haul train rides,https://uprightplatform.com/company/abfe467a-546a-4c51-b9ef-02cb426ec2f9/Phillips%2066/
MPC,MARATHON PETROLEUM,MARATHON PETROLEUM,Energy and Environmental,140412.0,18300.0,-104.0,96.0,-31.4,1.5,-17.0,1.1,-6.0,-1.3,18.0,-6.4,0.7,-2.2,0.1,GHG emissions 57.4M tons of GHG emissions,Societal infrastructure 494M long-haul train rides,https://uprightplatform.com/company/12adabe6-714a-4572-9ea5-02b1e8870d6e/Marathon%20Petroleum/
VZ,VERIZON COMMUNICATIONS,VERIZON COMMUNICATIONS,Telecommunications,134788.0,99600.0,38.0,34.0,-5.6,0.4,-2.5,0.3,-0.5,-0.4,10.8,-4.5,4.6,-4.4,8.1,Scarce human capital 97.8k scarce worker years,Taxes 137M days of primary education,https://uprightplatform.com/company/3509b043-ed83-4121-bfae-8f2de5b94f8f/Verizon%20Communications/
