"Company Name ","Account Number","Country ","Reporting Year","Ticker Symbol ","ISIN ","Disclosure Score","Performance Band","Parent Account ","Permission","Response Status","Scope 1 (metric tonnes CO2e)","Scope 2 (metric tonnes CO2e)","Country Location"
"VTB Bank","20356","Russia","2013","VTBR RU","RU000A0JP5V6",,,,,"NR",,,"(61.52401, 105.318756)"
"CEZ","3082","Czech Republic","2013","CEZ CP","CZ0005112300",,,,,"NR",,,"(49.817492, 15.472962)"
"Beiersdorf AG","1641","Germany","2013","BEI GR","DE0005200000","51","C",,"Public","AQ*","22,071","51,571","(51.165691, 10.451526)"
"Roche Holding AG","15841","Switzerland","2013","ROG VX","CH0012032048","96","B",,"Public","AQ*","394,063","432,103","(46.818188, 8.227512)"
"CSX Corporation","4120","USA","2013","CSX US","US1264081035","95","A",,"Public","AQ*","5,268,905","300,170","(37.09024, -95.712891)"
"Centrica","3042","United Kingdom","2013","CNA LN","GB00B033F229","97","B",,"Public","AQ*","7,230,344","166,476","(55.378051, -3.435973)"
"Prada","44262","Italy","2013","1913 HK",,,,,,"NR",,,"(41.87194, 12.56738)"
"Pernod Ricard","14562","France","2013","RI FP","FR0000120693","59","E",,"Public","AQ*","283,345","92,502","(46.227638, 2.213749)"
"Itaú Unibanco Holding S.A.","9578","Brazil","2013","ITUB4 BZ","BRITUBACNPR1","83","C",,"Public","AQ*","8,856.8","48,890.5","(-14.235004, -51.92528)"
"Valero Energy Corporation","20048","USA","2013","VLO US","US91913Y1001",,,,"Public","IN",,,"(37.09024, -95.712891)"
"Iberdrola SA","8698","Spain","2013","IBE SM","ES0144580Y14","99","B",,"Public","AQ*","35,461,092","7,189,301","(40.463667, -3.74922)"
"3M Company","285","USA","2013","MMM US","US88579Y1010","70","D",,"Public","AQ*","4,540,000","2,230,000","(37.09024, -95.712891)"
"Brookfield Asset Management Inc.","2330","Canada","2013","BAM/A CN","CA1125851040","63","D",,"Public","AQ*","67,649","587,875","(56.130366, -106.346771)"
