"Company Name","Country","Accounting Year","Industry Activity Group","REPORTED Scope 1 (metric tonnes CO2e)","REPORTED Scope 2 (metric tonnes CO2e)"
"Coca-Cola Enterprises, Inc.","USA","2013","Food & Beverage Processing","112,225","82,356"
"Sapporo Holdings Limited","Japan","2013","Food & Beverage Processing","114,050.36","147,212.33"
"Suntory Beverage & Food","Japan","2013","Food & Beverage Processing","132,656","99,597"
"Constellation Brands, Inc.","USA","2013","Food & Beverage Processing","139,130","52,833"
"ANADOLU EFES B?RACILIK VE MALT SANAY?? A.?.","Turkey","2013","Food & Beverage Processing","168,401.14","141,381.98"
"Coca-Cola Femsa Sab-Ser l","Mexico","2013","Food & Beverage Processing","175,351","253,710"
"Molson Coors Brewing Company","USA","2013","Food & Beverage Processing","206,749","123,415"
"Dr Pepper Snapple Group Inc","USA","2013","Food & Beverage Processing","249,446","160,649"
"Pernod Ricard","France","2013","Food & Beverage Processing","273,314","69,943"
"General Mills Inc.","USA","2013","Food & Beverage Processing","299,921","720,189"
"Asahi Group Holdings, Ltd.","Japan","2013","Food & Beverage Processing","313,000","222,000"
"Coca-Cola HBC AG","Switzerland","2013","Food & Beverage Processing","396,724","344,960"
"Danone","France","2013","Food & Beverage Processing","460,256","778,566"
"Kraft Foods","USA","2013","Food & Beverage Processing","478,276","663,394"
"Kirin Holdings Co Ltd","Japan","2013","Food & Beverage Processing","483,846","656,523"
"Diageo Plc","United Kingdom","2013","Food & Beverage Processing","613,166","58,932"
"Femsa - Fomento Economico Mexicano","Mexico","2013","Food & Beverage Processing","675,832","957,954"
"SABMiller","United Kingdom","2013","Food & Beverage Processing","1,007,221","832,192"
"Unilever plc","United Kingdom","2013","Food & Beverage Processing","1,013,690","939,457"
"ConAgra Foods, Inc.","USA","2013","Food & Beverage Processing","1,078,551","1,078,707"
"Mondelez International Inc","USA","2013","Food & Beverage Processing","1,080,025","988,185"
"Heineken NV","Netherlands","2013","Food & Beverage Processing","1,216,130","666,259"
"The Coca-Cola Company","USA","2013","Food & Beverage Processing","2,231,744","1,067,512"
"Associated British Foods","United Kingdom","2013","Food & Beverage Processing","2,231,930","912,467"
"Anheuser Busch InBev","Belgium","2013","Food & Beverage Processing","3,463,473","1,821,622"
"PepsiCo, Inc.","USA","2013","Food & Beverage Processing","3,823,000","1,958,000"
"JBS S/A","Brazil","2013","Food & Beverage Processing","3,877,792.27","1,478,012.92"
"Nestlé","Switzerland","2013","Food & Beverage Processing","3,985,115","3,814,017"
"Ambev - Cia de Bebidas das Américas","Brazil","2013","Food & Beverage Processing",,
"Grupo Modelo S.A.","Mexico","2013","Food & Beverage Processing",,
"Kweichow Moutai","China","2013","Food & Beverage Processing",,
"Tsingtao Brewery Company Limited","China","2013","Food & Beverage Processing",,
"Tyson Foods, Inc.","USA","2013","Food & Beverage Processing",,
"Wuliangye Yibin Co Ltd-A","China","2013","Food & Beverage Processing",,
"Yen Bai Agro-forestry products and Foodstuff Corp","Vietnam","2013","Food & Beverage Processing",,
