ticker,security,cik,matched,cik_match,wikirate_name,scope1_n_years,scope1_years,scope1_latest_year,scope2_n_years,scope2_years,scope2_latest_year
A,Agilent Technologies,1090872,True,True,Agilent Technologies,1,2014,2014,1,2014,2014
AAPL,Apple Inc.,320193,False,False,,0,,,0,,
ABBV,AbbVie,1551152,False,False,,0,,,0,,
ABNB,Airbnb,1559720,True,True,Airbnb,0,,,0,,
ABT,Abbott Laboratories,1800,True,True,Abbott Laboratories,1,2014,2014,1,2014,2014
ACGL,Arch Capital Group,947484,True,True,Arch Capital Group,0,,,0,,
ACN,Accenture,1467373,True,True,Accenture,0,,,0,,
ADBE,Adobe Inc.,796343,False,False,,0,,,0,,
ADI,Analog Devices,6281,True,True,Analog Devices,0,,,0,,
ADM,Archer Daniels Midland,7084,True,True,Archer Daniels Midland,0,,,0,,
ADP,Automatic Data Processing,8670,False,False,,0,,,0,,
ADSK,Autodesk,769397,False,False,,0,,,0,,
AEE,Ameren,1002910,True,True,Ameren,0,,,0,,
AEP,American Electric Power,4904,False,False,,0,,,0,,
AES,AES Corporation,874761,False,False,,0,,,0,,
AFL,Aflac,4977,True,True,Aflac,0,,,0,,
AIG,American International Group,5272,True,True,American International Group,0,,,0,,
AIZ,Assurant,1267238,True,True,Assurant,0,,,0,,
AJG,Arthur J. Gallagher & Co.,354190,False,False,,0,,,0,,
AKAM,Akamai Technologies,1086222,True,True,Akamai Technologies,0,,,0,,
ALB,Albemarle Corporation,915913,True,True,Albemarle Corporation,0,,,0,,
ALGN,Align Technology,1097149,False,False,,0,,,0,,
ALL,Allstate,899051,True,True,Allstate,0,,,0,,
ALLE,Allegion,1579241,False,False,,0,,,0,,
AMAT,Applied Materials,6951,True,True,Applied Materials,0,,,0,,
AMCR,Amcor,1748790,True,False,Amcor,1,2014,2014,1,2014,2014
AMD,Advanced Micro Devices,2488,False,False,,0,,,0,,
AME,Ametek,1037868,True,True,Ametek,0,,,0,,
AMGN,Amgen,318154,True,True,Amgen,1,2014,2014,1,2014,2014
AMP,Ameriprise Financial,820027,True,True,Ameriprise Financial,0,,,0,,
AMT,American Tower,1053507,True,True,American Tower,0,,,0,,
AMZN,Amazon,1018724,False,False,,0,,,0,,
ANET,Arista Networks,1596532,False,False,,0,,,0,,
AON,Aon plc,315293,False,False,,0,,,0,,
AOS,A. O. Smith,91142,False,False,,0,,,0,,
APA,APA Corporation,1841666,True,True,APA Corporation,0,,,0,,
APD,Air Products,2969,True,False,Air Products,0,,,0,,
APH,Amphenol,820313,True,True,Amphenol Corporation,0,,,0,,
APO,Apollo Global Management,1858681,False,False,,0,,,0,,
APP,AppLovin,1751008,True,True,AppLovin Corporation,0,,,0,,
APTV,Aptiv,1521332,False,False,,0,,,0,,
ARE,Alexandria Real Estate Equities,1035443,False,False,,0,,,0,,
ARES,Ares Management,1176948,False,False,,0,,,0,,
ATO,Atmos Energy,731802,True,True,Atmos Energy Corporation,0,,,0,,
AVGO,Broadcom,1730168,True,True,Broadcom,0,,,0,,
AVY,Avery Dennison,8818,True,False,Avery Dennison,0,,,0,,
AWK,American Water Works,1410636,True,True,American Water Works,0,,,0,,
AXON,Axon Enterprise,1069183,False,False,,0,,,0,,
AXP,American Express,4962,True,True,American Express,1,2014,2014,1,2014,2014
AZO,AutoZone,866787,True,True,AutoZone,0,,,0,,
BA,Boeing,12927,True,True,Boeing,0,,,0,,
BAC,Bank of America,70858,True,True,Bank of America,1,2014,2014,1,2014,2014
BALL,Ball Corporation,9389,True,True,Ball Corporation,0,,,0,,
BAX,Baxter International,10456,True,True,Baxter International,1,2014,2014,1,2014,2014
BBY,Best Buy,764478,True,False,Best Buy,0,,,0,,
BDX,Becton Dickinson,10795,True,True,"Becton, Dickinson",0,,,0,,
BEN,Franklin Resources,38777,True,True,Franklin Resources,0,,,0,,
BF.B,Brown–Forman,14693,False,False,,0,,,0,,
BG,Bunge Global,1996862,False,False,,0,,,0,,
BIIB,Biogen,875045,False,False,,0,,,0,,
BKNG,Booking Holdings,1075531,True,True,Booking Holdings,0,,,0,,
BKR,Baker Hughes,1701605,True,True,Baker Hughes,0,,,0,,
BLDR,Builders FirstSource,1316835,True,True,Builders FirstSource,0,,,0,,
BLK,BlackRock,2012383,True,True,BlackRock,0,,,0,,
BMY,Bristol Myers Squibb,14272,True,True,Bristol-Myers Squibb,0,,,0,,
BNY,BNY Mellon,1390777,False,False,,0,,,0,,
BR,Broadridge Financial Solutions,1383312,False,False,,0,,,0,,
BRK.B,Berkshire Hathaway,1067983,True,True,Berkshire Hathaway,0,,,0,,
BRO,Brown & Brown,79282,False,False,,0,,,0,,
BSX,Boston Scientific,885725,True,True,Boston Scientific,0,,,0,,
BX,Blackstone Inc.,1393818,False,False,,0,,,0,,
BXP,"BXP, Inc.",1037540,False,False,,0,,,0,,
C,Citigroup,831001,False,False,,0,,,0,,
CAH,Cardinal Health,721371,True,True,Cardinal Health,0,,,0,,
CARR,Carrier Global,1783180,True,True,Carrier Global,0,,,0,,
CASY,Casey's,726958,False,False,,0,,,0,,
CAT,Caterpillar Inc.,18230,False,False,,0,,,0,,
CB,Chubb Limited,896159,False,False,,0,,,0,,
CBOE,Cboe Global Markets,1374310,False,False,,0,,,0,,
CBRE,CBRE Group,1138118,True,True,CBRE Group,0,,,0,,
CCI,Crown Castle,1051470,False,False,,0,,,0,,
CCL,Carnival Corporation,815097,False,False,,0,,,0,,
CDNS,Cadence Design Systems,813672,True,True,Cadence Design Systems,0,,,0,,
CDW,CDW Corporation,1402057,False,False,,0,,,0,,
CEG,Constellation Energy,1868275,False,False,,0,,,0,,
CF,CF Industries,1324404,False,False,,0,,,0,,
CFG,Citizens Financial Group,759944,False,False,,0,,,0,,
CHD,Church & Dwight,313927,True,True,Church & Dwight,0,,,0,,
CHRW,C.H. Robinson,1043277,False,False,,0,,,0,,
CHTR,Charter Communications,1091667,True,True,Charter Communications,0,,,0,,
CI,Cigna,1739940,True,True,Cigna Group,0,,,0,,
CIEN,Ciena,936395,True,True,Ciena Corporation,0,,,0,,
CINF,Cincinnati Financial,20286,True,True,Cincinnati Financial,0,,,0,,
CL,Colgate-Palmolive,21665,True,True,Colgate-Palmolive Company,1,2014,2014,1,2014,2014
