cik,ticker_symbols,company,sector,industry,latest_fiscal_year,revenue,net_income,operating_cash_flow,total_assets,source,source_accession_number,source_filed_date,status
0000001800,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2024,41950000000.0,13402000000.0,8558000000.0,,SimFin annual CSV,,2025-02-21,ok
0000002488,AMD,Advanced Micro Devices,Information Technology,Semiconductors,2024,25785000000.0,1641000000.0,3041000000.0,,SimFin annual CSV,,2025-02-05,ok
0000002969,APD,Air Products,Materials,Industrial Gases,2024,12100600000.0,3828200000.0,3646700000.0,,SimFin annual CSV,,2024-11-21,ok
0000004127,SWKS,Skyworks Solutions,Information Technology,Semiconductors,2024,4178000000.0,596000000.0,1824700000.0,,SimFin annual CSV,,2024-11-15,ok
0000004281,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2024,7430000000.0,1155000000.0,1298000000.0,,SimFin annual CSV,,2025-02-14,ok
0000004904,AEP,American Electric Power,Utilities,Electric Utilities,2023,18982300000.0,2208100000.0,5012200000.0,,SimFin annual CSV,,2024-02-26,ok
0000004962,AXP,American Express,Financials,Consumer Finance,2024,65647000000.0,10129000000.0,14050000000.0,,SimFin annual CSV,,2025-02-07,ok
0000004977,AFL,Aflac,Financials,Life & Health Insurance,2024,18927000000.0,5443000000.0,2707000000.0,,SimFin annual CSV,,2025-02-26,ok
0000005272,AIG,American International Group,Financials,Multi-line Insurance,2024,27326000000.0,-1404000000.0,3273000000.0,,SimFin annual CSV,,2025-02-13,ok
0000006281,ADI,Analog Devices,Information Technology,Semiconductors,2024,9427157000.0,1635273000.0,3852529000.0,,SimFin annual CSV,,2024-11-26,ok
0000006951,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2024,27176000000.0,7177000000.0,8677000000.0,,SimFin annual CSV,,2024-12-13,ok
0000007084,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,2024,85530000000.0,1800000000.0,2790000000.0,,SimFin annual CSV,,2025-02-20,ok
0000008670,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2025,20560900000.0,4079700000.0,4939700000.0,,SimFin annual CSV,,2025-08-06,ok
0000008818,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,2024,8755700000.0,704900000.0,938800000.0,,SimFin annual CSV,,2025-02-26,ok
0000009389,BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",2024,11795000000.0,4008000000.0,115000000.0,,SimFin annual CSV,,2025-02-20,ok
0000010456,BAX,Baxter International,Health Care,Health Care Equipment,2024,10636000000.0,-649000000.0,1033000000.0,,SimFin annual CSV,,2025-02-21,ok
0000010795,BDX,Becton Dickinson,Health Care,Health Care Equipment,2024,20178000000.0,1705000000.0,3843000000.0,,SimFin annual CSV,,2024-11-27,ok
0000011544,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2024,13638752000.0,1756115000.0,3678368000.0,,SimFin annual CSV,,2025-02-24,ok
0000012927,BA,Boeing,Industrials,Aerospace & Defense,2022,66608000000.0,-4935000000.0,3512000000.0,,SimFin annual CSV,,2023-01-27,ok
0000014272,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2024,48300000000.0,-8948000000.0,14566000000.0,,SimFin annual CSV,,2025-02-12,ok
0000014693,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,2026,3928000000,715000000,1000000000,7894000000,SEC Company Facts,0000014693-26-000024,2026-06-12,ok
0000016918,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2024,10208700000.0,-81400000.0,3152200000.0,,SimFin annual CSV,,2025-04-23,ok
0000018230,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,2024,64809000000.0,10792000000.0,12035000000.0,,SimFin annual CSV,,2025-02-14,ok
0000019617,JPM,JPMorgan Chase,Financials,Diversified Banks,2024,177556000000.0,58471000000.0,-42012000000.0,,SimFin annual CSV,,2025-02-14,ok
0000020286,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2024,11337000000.0,2292000000.0,2649000000.0,,SimFin annual CSV,,2025-02-24,ok
0000021076,CLX,Clorox,Consumer Staples,Household Products,2024,7093000000.0,280000000.0,695000000.0,,SimFin annual CSV,,2024-08-08,ok
0000021344,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2024,47061000000.0,10631000000.0,6805000000.0,,SimFin annual CSV,,2025-02-20,ok
0000021665,CL,Colgate-Palmolive,Consumer Staples,Household Products,2024,20101000000.0,2889000000.0,4107000000.0,,SimFin annual CSV,,2025-02-13,ok
0000024545,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,2024,11627000000.0,1122400000.0,1910300000.0,,SimFin annual CSV,,2025-02-18,ok
0000024741,GLW,Corning Inc.,Information Technology,Electronic Components,2024,13118000000.0,506000000.0,1618000000.0,,SimFin annual CSV,,2025-02-13,ok
0000026172,CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,2024,34102000000.0,3946000000.0,1387000000.0,,SimFin annual CSV,,2025-02-11,ok
0000027419,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2024,106566000000.0,4091000000.0,7367000000.0,,SimFin annual CSV,,2025-03-12,ok
