ticker,company,sector,industry,fiscal_year,revenue_usd,operating_cash_flow_usd,capex_usd,free_cash_flow_usd,fcf_margin
MMM,3M,Industrials,Industrial Conglomerates,2024,24575000000.0,1819000000.0,1120000000.0,699000000.0,0.02844354018311292
MMM,3M,Industrials,Industrial Conglomerates,2023,24610000000.0,6680000000.0,1496000000.0,5184000000.0,0.210646078829744
MMM,3M,Industrials,Industrial Conglomerates,2022,26161000000.0,5591000000.0,1549000000.0,4042000000.0,0.15450479721723176
AOS,A. O. Smith,Industrials,Building Products,2024,3818100000.0,581800000.0,108000000.0,473800000.0,0.12409313532909039
AOS,A. O. Smith,Industrials,Building Products,2023,3852800000.0,670300000.0,72600000.0,597700000.0,0.15513392857142858
AOS,A. O. Smith,Industrials,Building Products,2022,3753900000.0,391400000.0,70300000.0,321100000.0,0.08553770745091771
ABT,Abbott Laboratories,Health Care,Health Care Equipment,2024,41950000000.0,8558000000.0,2207000000.0,6351000000.0,0.15139451728247913
ABT,Abbott Laboratories,Health Care,Health Care Equipment,2023,40109000000.0,7261000000.0,2202000000.0,5059000000.0,0.12613129222867686
ABT,Abbott Laboratories,Health Care,Health Care Equipment,2022,43653000000.0,9581000000.0,1777000000.0,7804000000.0,0.1787735092662589
ABBV,AbbVie,Health Care,Biotechnology,2024,56334000000.0,18806000000.0,974000000.0,17832000000.0,0.31654063265523485
ABBV,AbbVie,Health Care,Biotechnology,2023,54318000000.0,22839000000.0,777000000.0,22062000000.0,0.40616370264000884
ABBV,AbbVie,Health Care,Biotechnology,2022,58054000000.0,24943000000.0,695000000.0,24248000000.0,0.41768009094980535
ACN,Accenture,Information Technology,IT Consulting & Other Services,2025,69672977000.0,11474399000.0,600039000.0,10874360000.0,0.15607715456166024
ACN,Accenture,Information Technology,IT Consulting & Other Services,2024,64896464000.0,9131027000.0,516509000.0,8614518000.0,0.13274248655519968
ACN,Accenture,Information Technology,IT Consulting & Other Services,2023,64111745000.0,9524268000.0,528172000.0,8996096000.0,0.14031900083206283
ADBE,Adobe Inc.,Information Technology,Application Software,2024,21505000000.0,8056000000.0,183000000.0,7873000000.0,0.36610090676586843
ADBE,Adobe Inc.,Information Technology,Application Software,2023,19409000000.0,7302000000.0,360000000.0,6942000000.0,0.3576691225720027
ADBE,Adobe Inc.,Information Technology,Application Software,2022,17606000000.0,7838000000.0,442000000.0,7396000000.0,0.4200840622515052
AMD,Advanced Micro Devices,Information Technology,Semiconductors,2024,25785000000.0,3041000000.0,636000000.0,2405000000.0,0.09327128175295715
AMD,Advanced Micro Devices,Information Technology,Semiconductors,2023,22680000000.0,1667000000.0,546000000.0,1121000000.0,0.04942680776014109
AMD,Advanced Micro Devices,Information Technology,Semiconductors,2022,23601000000.0,3565000000.0,450000000.0,3115000000.0,0.13198593279945764
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2024,6510000000.0,1751000000.0,378000000.0,1373000000.0,0.2109062980030722
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2023,6833000000.0,1772000000.0,298000000.0,1474000000.0,0.215717839894629
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2022,6848000000.0,1312000000.0,291000000.0,1021000000.0,0.1490946261682243
APD,Air Products,Materials,Industrial Gases,2024,12100600000.0,3646700000.0,4917900000.0,-1271200000.0,-0.10505264201775119
APD,Air Products,Materials,Industrial Gases,2023,12600000000.0,3205700000.0,4601000000.0,-1395300000.0,-0.11073809523809523
APD,Air Products,Materials,Industrial Gases,2022,12698600000.0,3170600000.0,2880300000.0,290300000.0,0.0228607878033799
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020,3378000000.0,-740000000.0,37000000.0,-777000000.0,-0.23001776198934282
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2024,3991168000.0,1523144000.0,390433000.0,1132711000.0,0.2838043900933261
