Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Change in Working Capital;Change in Accounts Receivable;Change in Inventories;Change in Accounts Payable;Change in Other;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Long Term Investment;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Net Change in Cash
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2022-12-21;309000000;312000000;719000000;308000000;220000000;-326000000;;;;;921000000;-118000000;;;-147000000;-222000000;-45000000;-409000000;-717000000;59000000
A;45846;USD;2021;FY;2021-10-31;2021-12-17;2023-12-20;305000000;307000000;1210000000;321000000;56000000;-102000000;;;;;1485000000;-187000000;12000000;-547000000;-749000000;-236000000;356000000;-733000000;-696000000;43000000
A;45846;USD;2022;FY;2022-10-31;2022-12-21;2024-12-20;304000000;307000000;1254000000;317000000;219000000;-478000000;;;;;1312000000;-291000000;9000000;-52000000;-334000000;-250000000;22000000;-1081000000;-1376000000;-434000000
A;45846;USD;2023;FY;2023-10-31;2023-12-20;2025-12-22;294000000;296000000;1240000000;271000000;377000000;-116000000;;;;;1772000000;-298000000;-3000000;-1000000;-302000000;-265000000;-43000000;-508000000;-938000000;537000000
A;45846;USD;2024;FY;2024-10-31;2024-12-20;2025-12-22;290000000;291000000;1289000000;257000000;122000000;83000000;;;;;1751000000;-378000000;-5000000;-862000000;-1245000000;-274000000;624000000;-1073000000;-765000000;-261000000
A21;1333027;USD;2020;FY;2020-12-31;2021-03-10;2023-04-21;1853320448;2115376392;-24055773;46508505;-12047157;294096940;;;;;304523958;-97749057;-9417727;-5135993;-2564477341;;533920965;3046365362;3580286327;1265761414
A21;1333027;USD;2021;FY;2021-12-31;2022-04-19;2024-04-12;1853320448;1853320448;-49820876;91502997;233528647;1017428305;;;;;1292639073;-533853117;34150422573;-10473922;-572536113;;796692009;1705768838;2502460848;3149390640
AA;367153;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;186000000;186000000;-14000000;653000000;-221000000;-24000000;;;;;394000000;-353000000;-12000000;198000000;-167000000;;738000000;1000000;514000000;727000000
AA;367153;USD;2021;FY;2021-12-31;2022-02-24;2024-02-21;185663439;185663439;570000000;664000000;358000000;-672000000;;;;;920000000;-390000000;-11000000;966000000;562000000;-19000000;-799000000;-125000000;-1155000000;314000000
AA;367153;USD;2022;FY;2022-12-31;2023-02-23;2025-02-20;186377853;189907737;38000000;617000000;1015000000;-848000000;;;;;822000000;-480000000;-22000000;5000000;-501000000;-72000000;3000000;-478000000;-762000000;-450000000
AA;367153;USD;2023;FY;2023-12-31;2024-02-21;2026-02-26;178000000;178000000;-773000000;632000000;502000000;-270000000;;;;;91000000;-527000000;-70000000;;-596000000;-72000000;55000000;1000000;68000000;-427000000
AA;367153;USD;2024;FY;2024-12-31;2025-02-20;2026-02-26;212000000;214000000;24000000;642000000;455000000;-499000000;;;;;622000000;-577000000;-37000000;;-619000000;-90000000;353000000;;212000000;187000000
AAC;7962652;USD;2021;FY;2021-12-31;2022-03-04;2023-03-10;125000000;125000000;15849072;;-22310688;5048063;;;;;-1413553;;;;-1000000000;;1023000000;;1002163063;749510
AAC;7962652;USD;2022;FY;2022-12-31;2023-02-28;2023-03-10;100000000;100000000;20983590;;-28326302;5131184;;;;;-2211528;;;;;;1500000;;1500000;-711528
AACG;18712193;USD;2021;FY;2021-12-31;2022-04-26;2024-04-10;62748095;62748095;-5643041;3568616;-4312692;1453356;;;;;-4933760;-689931;;-848529;-1534975;;110039;;108879;-6413932
AACG;18712193;USD;2022;FY;2022-12-31;2023-04-12;2025-04-10;62753840;62753840;-7221214;3357024;-877089;2569621;;;;;-2171657;-240488;;-24584;-310594;;;;-31472;-2431009
AACI;11820349;USD;2021;FY;2021-09-30;2021-12-29;2022-12-22;5709500;20709500;-468899;;284794;-341724;;;;;-525829;;;;-150000000;;4595000;148536045;151183419;657590
AACT;14122297;USD;2023;FY;2023-12-31;2024-02-28;2026-03-11;57932000;57932000;-56945000;4114000;7316000;1673000;;;;;-43842000;-3270000;20548000;;17278000;;11737000;292000;12029000;-14535000
AACT;14122297;USD;2024;FY;2024-12-31;2025-03-12;2026-03-11;58410000;58410000;-69459000;4616000;11467000;2415000;;;;;-50961000;-3192000;;;-3212000;;42954000;172000;43126000;-11047000
AAGH;12444287;USD;2021;FY;2021-06-30;2022-01-21;2022-10-31;20438554050;20438554050;-269054;;15534;-75721;;;;;-329241;-12671;;;-12671;;582159;;737882;395970
AAGH;12444287;USD;2022;FY;2022-06-30;2022-10-31;2023-10-13;21090049276;21090049276;-4924936;5905;1434622;2004551;;;;;-1479858;-16851;;;-16851;;823666;97500;1163056;-333653
AAGH;12444287;USD;2023;FY;2023-06-30;2023-10-13;2025-02-25;21093402806;21093402806;-777340;10346;10579;366606;;;;;-389809;-44420;;;-44420;;548753;26200;426235;-7994
AAGH;12444287;USD;2024;FY;2024-06-30;2025-02-25;2025-02-25;21123253567;21123253567;-1226362;14789;100544;495402;;;;;-615627;;;;;;-190869;115000;617403;1776
AAIC;9076064;USD;2020;FY;2020-12-31;2021-02-26;2022-03-10;35343000;35343000;-67716000;;85268000;8362000;;;;;25914000;;2799646000;;3037014000;-11315000;-3023716000;-10377000;-3042599000;20329000
AAIC;9076064;USD;2021;FY;2021-12-31;2022-03-10;2023-03-31;32312000;32312000;-9515000;;10880000;3326000;;;;;4691000;;-605048000;;230879000;-2916000;-289430000;-11556000;-253749000;-18179000
AAIC;9076064;USD;2022;FY;2022-12-31;2023-03-31;2023-03-31;28717000;29243000;5426000;;-8402000;1601000;;;;;-1375000;;-784572000;;-113430000;-2783000;-56615000;-9167000;123231000;8426000
AAL;68568;USD;2020;FY;2020-12-31;2021-02-17;2023-02-22;483888000;483888000;-8885000000;2370000000;-1245000000;1217000000;;;;;-6543000000;-1607000000;;;-4342000000;-43000000;8245000000;2970000000;10994000000;109000000
AAL;68568;USD;2021;FY;2021-12-31;2022-02-22;2024-02-21;648766000;648766000;-1993000000;2335000000;-605000000;967000000;;;;;704000000;166000000;-28000000;;-5983000000;;4847000000;460000000;5288000000;9000000
AAL;68568;USD;2022;FY;2022-12-31;2023-02-22;2025-02-19;650345000;655122000;127000000;2298000000;330000000;-582000000;;;;;2173000000;-2546000000;;;636000000;;-2683000000;;-2631000000;178000000
AAL;68568;USD;2023;FY;2023-12-31;2024-02-21;2026-02-18;653612000;719669000;822000000;2254000000;431000000;296000000;;;;;3803000000;-2596000000;;;-502000000;;-2896000000;;-3206000000;95000000
AAL;68568;USD;2024;FY;2024-12-31;2025-02-19;2026-02-18;656996000;721300000;846000000;2245000000;-141000000;1033000000;;;;;3983000000;-2683000000;;;-968000000;;-2797000000;;-2794000000;221000000
AAM;18508049;USD;2024;FY;2024-12-31;2025-03-11;2025-03-11;;7500000;5855202;;-6615700;77605;;;;;-682893;;;;-346725000;;8490000;25000;347825790;417897
AAMC;847094;USD;2020;FY;2020-12-31;2021-03-03;2022-03-31;2773254;2773254;39832509;354000;-4279000;-547000;;;;;18606000;-86000;;;3557000;;;-310715;-297000;21842000
AAMC;847094;USD;2021;FY;2021-12-31;2022-03-31;2023-03-27;2773254;2773254;-5998850;447105;-9476000;-1731000;;;;;-17676000;-511000;-11411387;;58907000;;0;-1047731;-4804000;36427000
AAMC;847094;USD;2022;FY;2022-12-31;2023-03-27;2024-03-29;3259755;3259755;-15934000;440344;-252000;-1172924;;;;;-27114434;-60000;;;-85183337;;51653000;-2881000;46779000;-65534000
AAMC;847094;USD;2023;FY;2023-12-31;2024-03-29;2024-03-29;2925744;2925744;-32546000;680615;34049000;21213555;;;;;-11773000;-16000;;;62894000;;-51617000;-3328000;-55180000;-4059000
AAN;441241;USD;2020;FY;2020-12-31;2021-02-23;2023-03-01;33877000;33877000;-265912000;571260000;552665000;-502244000;;;;;355769000;-60607000;;-14793000;-75041000;;-342335000;;-253411000;27350000
AAN;441241;USD;2021;FY;2021-12-31;2022-02-24;2024-02-29;32485000;33188000;109934000;593842000;208098000;-775834000;;;;;136040000;-77762000;;-10121000;-85375000;-9971000;9260000;-100511000;-103951000;-53291000
AAN;441241;USD;2022;FY;2022-12-31;2023-03-01;2024-02-29;30881000;30881000;-5280000;592049000;261538000;-677875000;;;;;170432000;-86461000;;-266692000;-351377000;-13530000;233157000;-11883000;185880000;4884000
AAN;441241;USD;2023;FY;2023-12-31;2024-02-29;2024-02-29;30778000;31105000;2823000;549583000;204687000;-576679000;;;;;180414000;-77121000;;;-76876000;-14994000;-48625000;-6094000;-72249000;31319000
AAOI;671827;USD;2020;FY;2020-12-31;2021-02-25;2023-02-27;21866630;21866630;-58452000;24733000;24119000;-34409000;;;;;-44009000;-16068000;;;-19347000;;9322000;39216000;47441000;-16914000
AAOI;671827;USD;2021;FY;2021-12-31;2022-02-24;2024-02-23;27097372;27097372;-54162000;25371000;11190000;5957000;;;;;-11644000;-8324000;;;-10546000;;-357000;15405000;14087000;-8979000
AAOI;671827;USD;2022;FY;2022-12-31;2023-02-27;2025-02-28;27846387;27846387;-66397000;23202000;17268000;11905000;;;;;-14022000;-3305000;;;-3834000;;9969000;1238000;10753000;-5550000
AAOI;671827;USD;2023;FY;2023-12-31;2024-02-23;2026-02-26;31944259;31944259;-56048000;20427000;21634000;6058000;;;;;-7929000;-9532000;;;-14761000;;-27409000;69006000;40578000;19510000
AAOI;671827;USD;2024;FY;2024-12-31;2025-02-28;2026-02-26;41538551;41538551;-186733000;20649000;132435000;-35877000;;;;;-69526000;-43905000;;;-50697000;;3011000;146291000;142179000;24036000
AAON;919501;USD;2020;FY;2020-12-31;2021-02-25;2023-02-27;78253019;79591754;79009000;25634000;19159000;5012000;;;;;128814000;-67742000;;;-61273000;-19815000;;-8642000;-29626000;37915000
AAON;919501;USD;2021;FY;2021-12-31;2022-02-28;2024-02-28;78631067;80319770;58758000;30343000;16223000;-44141000;;;;;61183000;-55343000;;-103430000;-158719000;-19947000;40000000;272000;18735000;-78801000
AAON;919501;USD;2022;FY;2022-12-31;2023-02-27;2025-02-27;79582479;81145608;100376000;35106000;3410000;-77574000;;;;;61318000;-76012000;;-249000;-76213000;-22917000;31004000;10403000;17357000;2462000
AAP;184955;USD;2020;FY;2020-12-31;2021-02-22;2023-02-28;68748000;69003000;493021000;250081000;107623000;118963000;;;;;969688000;-266897000;;;-266897000;-56347000;244524000;-469691000;-285997000;416327000
AAP;184955;USD;2021;FY;2021-12-31;2022-02-15;2024-03-12;62854000;63348000;596615000;259933000;122817000;127657000;;;;;1107022000;-287314000;;;-284293000;-160925000;;-906208000;-1067133000;-238930000
AAP;184955;USD;2022;FY;2022-12-31;2023-02-28;2025-02-26;60351000;60717000;360536000;248327000;81633000;-67858000;;;;;736571000;-399520000;;;-424448000;-336230000;332537000;-618480000;-620704000;-317245000
AAPL;111052;USD;2021;FY;2021-09-30;2021-10-29;2023-11-03;16391724000;16519291000;94680000000;11284000000;2985000000;-4911000000;;;;;104038000000;-11085000000;-3075000000;;-14545000000;-14467000000;12665000000;-85971000000;-93353000000;-3860000000
AAPL;111052;USD;2022;FY;2022-09-30;2022-10-28;2024-11-01;16215963000;16325819000;99803000000;11104000000;10044000000;1200000000;;;;;122151000000;-10708000000;-9560000000;;-22354000000;-14841000000;-123000000;-89402000000;-110749000000;-10952000000
AAPL;111052;USD;2023;FY;2023-09-30;2023-11-03;2025-10-31;15744231000;15812547000;96995000000;11519000000;8606000000;-6577000000;;;;;110543000000;-10959000000;16001000000;;3705000000;-15025000000;-9901000000;-77550000000;-108488000000;5760000000
AAPL;111052;USD;2024;FY;2024-09-30;2024-11-01;2025-10-31;15343783000;15408095000;93736000000;11445000000;9422000000;3651000000;;;;;118254000000;-9447000000;13690000000;;2935000000;-15234000000;-5998000000;-94949000000;-121983000000;-794000000
AAT;919944;USD;2020;FY;2020-12-31;2021-02-16;2023-02-10;59806309;76119763;35588000;108292000;-7056000;-9839000;;;;;126985000;-63488000;;;-69077000;-76510000;48997000;;-28310000;29598000
AAT;919944;USD;2021;FY;2021-12-31;2022-02-11;2024-02-14;59990343;76171880;36593000;116306000;-4190000;16369000;;;;;165078000;-309099000;-37000;;-309027000;-88936000;239300000;;144424000;475000
AAT;919944;USD;2022;FY;2022-12-31;2023-02-10;2025-02-12;76230507;76230507;55877000;123338000;387000;-7181000;;;;;172421000;-158947000;;;-159670000;;0;;-102704000;-89953000
AAT;919944;USD;2023;FY;2023-12-31;2024-02-14;2026-02-06;60158976;76340513;64690000;119500000;5543000;159000;;;;;189892000;-82980000;;;-91028000;;39000000;;-65547000;33317000
AAT;919944;USD;2024;FY;2024-12-31;2025-02-12;2026-02-06;60333055;76514592;72819000;125461000;5937000;4155000;;;;;208372000;-70205000;;;-78673000;;323273000;;213072000;342771000
AAWH;2265764;USD;2020;FY;2020-12-31;2021-03-11;2023-03-15;167790414;167790414;-23841000;12561000;6017000;-741000;;;;;-6004000;204000;;-26044000;-30872000;;85567000;;82168000;45292000
AAWH;2265764;USD;2021;FY;2021-12-31;2022-03-11;2024-03-13;149434000;149434000;-122657000;22219000;96457000;-37757000;;;;;-41738000;-87498000;;-23086000;-113233000;;180233000;81909000;252355000;97384000
AAWH;2265764;USD;2022;FY;2022-12-31;2023-03-15;2025-03-13;183381000;183381000;-80899000;37106000;36575000;-31138000;;;;;-38356000;-86669000;;-25140000;-114254000;;81502000;;71275000;-81335000
AAWH;2265764;USD;2023;FY;2023-12-31;2024-03-13;2026-03-12;199154000;199154000;-48214000;58983000;38389000;26176000;;;;;75334000;-25191000;;-19857000;-59890000;;-23557000;7186000;-17082000;-1638000
AAWH;2265764;USD;2024;FY;2024-12-31;2025-03-13;2026-03-12;212433000;212433000;-84994000;66157000;28807000;63322000;;;;;73292000;-35223000;;-9800000;-37196000;;735000;-2576000;-20350000;15746000
AAWW;762204;USD;2020;FY;2020-12-31;2021-02-18;2023-02-23;26408000;26690000;360286000;328101000;236207000;84948000;;;;;1009542000;47402000;881000;-9298000;-145288000;;-112016000;;-121403000;742851000
AAWW;762204;USD;2021;FY;2021-12-31;2022-02-17;2023-02-23;29023000;30547000;493317000;357330000;171396000;-99059000;;;;;922984000;-80818000;;-4893000;-493395000;;-329877000;;-364853000;64736000
AAWW;762204;USD;2022;FY;2022-12-31;2023-02-23;2023-02-23;28463000;34190000;355880000;354139000;137992000;-10272000;;;;;837739000;-66572000;;-10614000;-820265000;;-40794000;-100000000;-164580000;-147106000
ABBV;61199;USD;2020;FY;2020-12-31;2021-02-19;2023-02-17;1667000000;1673000000;4622000000;6471000000;6389000000;106000000;;;;;17588000000;-798000000;1464000000;-39610000000;-37557000000;-7716000000;-2683000000;-769000000;-11501000000;-31475000000
ABBV;61199;USD;2021;FY;2021-12-31;2022-02-18;2024-02-20;1767880465;1778000000;11549000000;8521000000;3938000000;-1231000000;;;;;22777000000;-787000000;-21000000;-1902000000;-2344000000;-9261000000;-8414000000;-690000000;-19039000000;1297000000
ABBV;61199;USD;2022;FY;2022-12-31;2023-02-17;2025-02-14;1771000000;1778000000;11845000000;8467000000;4725000000;-94000000;;;;;24943000000;-695000000;92000000;-794000000;-623000000;-10043000000;-12433000000;-1225000000;-24803000000;-545000000
ABBV;61199;USD;2023;FY;2023-12-31;2024-02-20;2026-02-20;1768000000;1773000000;4873000000;8698000000;6455000000;2813000000;;;;;22839000000;-777000000;-22000000;-1223000000;-2009000000;-10539000000;-4149000000;-1792000000;-17222000000;3613000000
ABBV;61199;USD;2024;FY;2024-12-31;2025-02-14;2026-02-20;1769000000;1773000000;4286000000;8386000000;8916000000;-2782000000;;;;;18806000000;-974000000;482000000;-20517000000;-20820000000;-11025000000;7350000000;-1494000000;-5211000000;-7290000000
ABCL;1250893;USD;2020;FY;2020-12-31;2021-03-30;2023-02-21;269710975;370914779;118918000;2317000;18156000;-116701000;;;;;22690000;-14673000;1783000;-87643000;-119780000;;86538000;597502000;683653000;586563000
ABCL;1250893;USD;2021;FY;2021-12-31;2022-02-25;2024-02-20;278933760;278933760;153464000;4403000;45045000;41672000;;;;;244584000;-58452000;-247102000;-11457000;-332247000;;;;-3886000;-92974000
ABCL;1250893;USD;2022;FY;2022-12-31;2023-02-21;2025-02-27;285056606;314827255;158519000;8953000;80063000;29825000;;;;;277360000;-72660000;-253351000;;-352625000;;;;-1628000;-86492000
ABCL;1250893;USD;2023;FY;2023-12-31;2024-02-20;2026-02-24;289166486;289166486;-146398000;12758000;76538000;13225000;;;;;-43877000;-76947000;-110573000;;-221108000;;11590000;;10356000;-254040000
ABCL;1250893;USD;2024;FY;2024-12-31;2025-02-27;2026-02-24;294327532;294327532;-162857000;12537000;67607000;-25843000;;;;;-108556000;-78396000;172796000;;121409000;;13498000;;12769000;23005000
ABEO;953884;USD;2020;FY;2020-12-31;2021-03-24;2022-03-31;3706543;3706543;-84234000;4586000;42995000;1634000;;;;;-35019000;-1336000;;;-83714000;;1758000;178000;1936000;-116797000
ABEO;953884;USD;2021;FY;2021-12-31;2022-03-31;2023-03-29;3706543;3706543;-84936000;3250000;34284000;-18263000;;;;;-65665000;-4151000;;;66062000;;;24861000;24861000;25258000
