Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Provision for Loan Losses;Non-Cash Items;Change in Working Capital;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Loans & Interbank;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
ABCB;919504;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;69256000;69426000;261988000;35371000;145380000;9659103000;-9303446000;798396000;-17398000;-1663092000;-2417000;-1200726000;-41685000;-978665000;-5733000;1897787000;;1495457000
ABCB;919504;USD;2021;FY;2021-12-31;2022-02-28;2024-02-28;69398594;69738426;376913000;32190000;-35365000;7458289000;-7822887000;9140000;-23490000;-409434000;-126664000;-420984000;-41798000;-296325000;-4907000;2359195000;;1947351000
ABTX;953887;USD;2020;FY;2020-12-31;2021-03-10;2022-02-25;20415000;20546000;45534000;7638000;27374000;459000;-19942000;61063000;-3155000;-592793000;;-961104000;-8165000;548402000;-16013000;976559000;;76518000
ABTX;953887;USD;2021;FY;2021-12-31;2022-02-25;2022-02-25;20260000;20423000;81553000;7550000;-2322000;14331000;6269000;107381000;-1194000;275906000;;-754824000;-9697000;455212000;-1847000;982186000;;334743000
ACBI;9076197;USD;2020;FY;2020-12-31;2021-03-16;2021-03-16;21342086;21427722;22540000;5145000;17446000;46614000;28512000;120257000;-2351000;-422637000;;-597841000;;25000000;-22803000;664658000;;187074000
ACNB;9075814;USD;2020;FY;2020-12-31;2021-03-05;2022-03-14;8635681;8635681;18394000;3651000;9140000;134532000;-140247000;25470000;362000;-38755000;35262000;-114848000;-8685000;-16972000;824000;374374000;;284996000
ACNB;9075814;USD;2021;FY;2021-12-31;2022-03-14;2023-03-03;8725392;8725392;27834000;3441000;50000;113452000;-102651000;42126000;-1174000;168013000;;60521000;-8968000;-22307000;-1457000;208132000;;310779000
AJX;90767;USD;2020;FY;2020-12-31;2021-03-05;2023-03-03;22641636;22641636;33608000;;;-36371000;-11294000;-14057000;11100000;117413000;;339529000;-17499000;-387780000;124671000;-282668000;;42804000
AJX;90767;USD;2021;FY;2021-12-31;2022-03-04;2024-02-28;22862429;30407649;41775000;;;-28353000;-31658000;-18236000;6566000;37829000;;510428000;-28774000;-446444000;476000;-514913000;;-22721000
AJX;90767;USD;2022;FY;2022-12-31;2023-03-03;2024-02-28;22852948;30262467;-14936000;;;7750000;8321000;1135000;4950000;135898000;-5801000;406981000;-29947000;-286283000;-124545000;-444697000;;-36581000
