Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Investments;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
AAME;450021;USD;2020;FY;2020-12-31;2021-03-23;2022-03-25;20441000;21819000;12169000;980000;-4621000;8971000;;;-2064000;-399000;;9000;-481000;;6426000
AAME;450021;USD;2021;FY;2021-12-31;2022-03-25;2023-06-30;20500000;22208333;4281000;1003000;-7915000;1088000;-107000;29184000;5300000;-807000;;6000;-954000;;5434000
AAME;450021;USD;2022;FY;2022-12-31;2023-04-01;2024-04-01;20390000;20390000;1525000;890000;2023000;7376000;-126000;-3302000;-4351000;-807000;2000000;;1085000;;4110000
AAME;450021;USD;2023;FY;2023-12-31;2024-04-01;2025-03-25;20404000;20404000;-171000;652000;-2078000;2992000;-80000;-8329000;-3735000;-807000;1000000;;181000;;-562000
AAME;450021;USD;2024;FY;2024-12-31;2025-03-25;2025-03-25;20400000;20400000;-4268000;366000;-1682000;7656000;-225000;-59000;-573000;-807000;1000000;;186000;;7269000
ACGL;445596;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;403062179;410259455;1465711000;69031000;-821314000;2886505000;;-362965000;-3043226000;-41612000;659793000;-81596000;521278000;22289000;386846000
ACGL;445596;USD;2021;FY;2021-12-31;2022-02-25;2024-02-23;389274220;397903347;2239000000;82000000;1290000000;3425000000;;-596000000;-2142000000;-47000000;;-1192000000;-1225000000;-34000000;24000000
ACGL;445596;USD;2022;FY;2022-12-31;2023-02-24;2025-02-27;368612197;377609767;1482000000;106000000;3374000000;3816000000;;-3574000000;-3187000000;-40000000;;-580000000;-620000000;-50000000;-41000000
ACGL;445596;USD;2023;FY;2023-12-31;2024-02-23;2026-02-26;368700000;378800000;4442000000;95000000;1738000000;5749000000;;-4747000000;-5473000000;-40000000;;-2000000;-64000000;13000000;225000000
ACGL;445596;USD;2024;FY;2024-12-31;2025-02-27;2026-02-26;372500000;381800000;4312000000;235000000;2765000000;6673000000;;-4958000000;-4463000000;-1906000000;;-17000000;-1923000000;-25000000;262000000
ACIC;774910;USD;2020;FY;2020-12-31;2021-03-09;2023-04-17;42864166;42864166;-95498000;11046000;-38816000;-10471000;-10848000;86876000;36566000;-10313000;-1229000;;-11654000;;14441000
ACIC;774910;USD;2021;FY;2021-12-31;2022-03-15;2024-03-15;42973753;42973753;-59868000;11768000;-28456000;-295391000;-5271000;226322000;251377000;-10350000;-1817000;;-12206000;;-56220000
ACIC;774910;USD;2022;FY;2022-12-31;2023-04-17;2025-03-10;42948850;42948850;-469966000;23312000;164069000;-173113000;-3047000;218093000;236835000;-2589000;-4441000;;-25390000;;38332000
ACIC;774910;USD;2023;FY;2023-12-31;2024-03-15;2026-03-09;43596432;44388804;309911000;10626000;-875755000;-137150000;;242572000;-1201000;;;26793000;26769000;;-111582000
AEL;6767439;USD;2020;FY;2020-12-31;2021-03-01;2023-02-28;92055000;92392000;671460000;5199000;1179985000;1800025000;;5862202000;4639565000;-62374000;-81450000;463227000;362540000;;6802130000
