Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Provision for Loan Losses;Net Revenue after Provisions;Total Non-Interest Expense;Operating Income (Loss);Non-Operating Income (Loss);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
ABCB;919504;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;69256000;69426000;1077027000;-145380000;931647000;-598629000;333018000;;340244000;-78256000;261988000;;261988000;261988000
ABCB;919504;USD;2021;FY;2021-12-31;2022-02-28;2024-02-28;69398594;69738426;1020871000;35365000;1056236000;-560124000;496112000;;496112000;-119199000;376913000;;376913000;376913000
ABTX;953887;USD;2020;FY;2020-12-31;2021-03-10;2022-02-25;20415000;20546000;210839000;-27374000;183465000;-127494000;55971000;;55971000;-10437000;45534000;;45534000;45534000
ABTX;953887;USD;2021;FY;2021-12-31;2022-02-25;2022-02-25;20260000;20423000;237126000;2322000;239448000;-137543000;101905000;;99894000;-18341000;81553000;;81553000;81553000
ACBI;9076197;USD;2020;FY;2020-12-31;2021-03-16;2021-03-16;21342086;21427722;97258000;-17446000;79812000;-52659000;27153000;;27153000;-4613000;22540000;;22540000;22540000
ACNB;9075814;USD;2020;FY;2020-12-31;2021-03-05;2022-03-14;8635681;8635681;93158000;-9140000;84018000;-55351000;28667000;;22702000;-4308000;18394000;;18394000;18394000
ACNB;9075814;USD;2021;FY;2021-12-31;2022-03-14;2023-03-03;8725392;8725392;94020000;-50000;93970000;-58951000;35019000;;35019000;-7185000;27834000;;27834000;27834000
AJX;90767;USD;2020;FY;2020-12-31;2021-03-05;2023-03-03;22641636;22641636;63611000;;63611000;-16192000;47419000;;33569000;39000;33608000;;28496000;22756000
AJX;90767;USD;2021;FY;2021-12-31;2022-03-04;2024-02-28;22862429;30407649;77948000;;77948000;-15863000;62085000;;42068000;-293000;41775000;;41855000;34057000
AJX;90767;USD;2022;FY;2022-12-31;2023-03-03;2024-02-28;22852948;30262467;41751000;;41751000;-15924000;25827000;;-12101000;-2835000;-14936000;;-15011000;-28679000
AJX;90767;USD;2023;FY;2023-12-31;2024-02-28;2025-02-18;24286999;24286999;3601000;;3601000;-26272000;-22671000;;-46714000;-243000;-46957000;;-47071000;-49261000
AJX;90767;USD;2024;FY;2024-12-31;2025-02-18;2026-02-18;40195479;40195479;9302000;;9302000;-45661000;-36359000;;-92905000;-145000;-93050000;;-91835000;-92175000
ALRS;10656542;USD;2020;FY;2020-12-31;2021-03-12;2023-03-13;17106000;17438000;233217000;-10900000;222317000;-163799000;58518000;;58518000;-13843000;44675000;;44675000;44675000
ALRS;10656542;USD;2021;FY;2021-12-31;2022-03-11;2024-03-08;17189000;17486000;234486000;3500000;237986000;-168909000;69077000;;69077000;-16396000;52681000;;52681000;52681000
ALTA;363174;USD;2020;FY;2020-12-31;2021-03-15;2021-03-15;18821361;18965624;126145000;-2750000;123395000;-66148000;57247000;;57247000;-13745000;43502000;;43502000;43502000
AMAL;10656460;USD;2020;FY;2020-12-31;2021-03-15;2023-03-09;31133000;31229000;220620000;-24791000;195829000;-133886000;61943000;;61943000;-15755000;46188000;;46188000;46188000
AMAL;10656460;USD;2021;FY;2021-12-31;2022-03-11;2024-03-07;31104000;31512000;202693000;287000;202980000;-132255000;70725000;;70725000;-17788000;52937000;;52937000;52937000
AMAL;10656460;USD;2022;FY;2022-12-31;2023-03-09;2025-03-06;31104000;31512000;263737000;-15002000;248735000;-140571000;108164000;;108164000;-26687000;81477000;;81477000;81477000
AMAL;10656460;USD;2023;FY;2023-12-31;2024-03-07;2026-03-05;30555000;30785000;290647000;-14670000;275977000;-151247000;124730000;;124730000;-36752000;87978000;;87978000;87978000
AMAL;10656460;USD;2024;FY;2024-12-31;2025-03-06;2026-03-05;30588000;30936000;315645000;-10284000;305361000;-159772000;145589000;;145589000;-39155000;106434000;;106434000;106434000
AMNB;7962980;USD;2020;FY;2020-12-31;2021-03-08;2023-03-14;10981623;10985790;100663000;-8916000;91747000;-54565000;37182000;;37182000;-7137000;30045000;;30045000;30045000
AMNB;7962980;USD;2021;FY;2021-12-31;2022-03-14;2024-03-15;10873817;10877231;111422000;2825000;114247000;-59008000;55239000;;55239000;-11713000;43526000;;43526000;43526000
AMNB;7962980;USD;2022;FY;2022-12-31;2023-03-14;2024-03-15;10672314;10674613;109045000;-1597000;107448000;-64086000;43362000;;43362000;-8934000;34428000;;34428000;34428000
AMNB;7962980;USD;2023;FY;2023-12-31;2024-03-15;2024-03-15;10627709;10628559;102918000;-495000;102423000;-65473000;36950000;;34373000;-8214000;26159000;;26159000;26159000
