Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Total Claims & Losses;Operating Income (Loss);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Affiliates, Net of Taxes;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
AAME;450021;USD;2020;FY;2020-12-31;2021-03-23;2022-03-25;20441000;21819000;195348000;-119876000;17113000;15503000;-3334000;;12169000;;12169000;11770000
AAME;450021;USD;2021;FY;2021-12-31;2022-03-25;2023-06-30;20500000;22208333;199554000;-131694000;6689000;5302000;-1021000;;4281000;;4281000;3882000
AAME;450021;USD;2022;FY;2022-12-31;2023-04-01;2024-04-01;20390000;20390000;187851000;-123456000;4048000;2096000;-571000;;1525000;;1525000;1126000
AAME;450021;USD;2023;FY;2023-12-31;2024-04-01;2025-03-25;20404000;20404000;186793000;-122500000;2704000;-565000;394000;;-171000;;-171000;-570000
AAME;450021;USD;2024;FY;2024-12-31;2025-03-25;2025-03-25;20400000;20400000;188227000;-125831000;-1845000;-5264000;996000;;-4268000;;-4268000;-4667000
ACGL;445596;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;403062179;410259455;8508509000;-4689599000;1787873000;1560783000;-111838000;16766000;1465711000;;1405521000;1363909000
ACGL;445596;USD;2021;FY;2021-12-31;2022-02-25;2024-02-23;389274220;397903347;9248000000;-4585000000;2201000000;2103000000;-128000000;264000000;2239000000;;2157000000;2094000000
ACGL;445596;USD;2022;FY;2022-12-31;2023-02-24;2025-02-27;368612197;377609767;9613000000;-5028000000;1516000000;1487000000;-80000000;75000000;1482000000;;1476000000;1436000000
ACGL;445596;USD;2023;FY;2023-12-31;2024-02-23;2026-02-26;368700000;378800000;13634000000;-6246000000;3578000000;3385000000;873000000;184000000;4442000000;;4441000000;4401000000
ACGL;445596;USD;2024;FY;2024-12-31;2025-02-27;2026-02-26;372500000;381800000;17440000000;-8342000000;4540000000;4474000000;-362000000;200000000;4312000000;;4312000000;4272000000
ACIC;774910;USD;2020;FY;2020-12-31;2021-03-09;2023-04-17;42864166;42864166;846656000;-608316000;-122595000;-132103000;36605000;;-95498000;;-96454000;-96454000
ACIC;774910;USD;2021;FY;2021-12-31;2022-03-15;2024-03-15;42973753;42973753;228685000;-89051000;-1243000;-10417000;6699000;;-3718000;-56150000;-57919000;-57919000
ACIC;774910;USD;2022;FY;2022-12-31;2023-04-17;2024-03-15;42948850;42948850;269791000;-134805000;-16342000;-15482000;-24522000;;-40004000;-429962000;-469855000;-469855000
ACIC;774910;USD;2023;FY;2023-12-31;2024-03-15;2024-03-15;43596432;44388804;286543000;-62861000;100607000;91971000;-9773000;;82198000;227713000;309911000;309911000
AEL;6767439;USD;2020;FY;2020-12-31;2021-03-01;2023-02-28;92055000;92392000;2426673000;-49742000;-437693000;815961000;-144501000;;671460000;;671460000;637945000
AEL;6767439;USD;2021;FY;2021-12-31;2022-03-01;2023-02-28;93860000;94491000;3689471000;-67983000;275350000;602747000;-128755000;;473992000;;473992000;430317000
AEL;6767439;USD;2022;FY;2022-12-31;2023-02-28;2023-02-28;93860000;94491000;1415501000;-31099000;-768712000;1546457000;-325155000;;1221302000;;1220944000;1177269000
AFG;485236;USD;2020;FY;2020-12-31;2021-02-25;2023-02-24;88700000;89200000;5769000000;-3271000000;427000000;339000000;-25000000;;314000000;407000000;732000000;732000000
AFG;485236;USD;2021;FY;2021-12-31;2022-02-25;2024-02-23;84800000;85200000;6552000000;-3157000000;1848000000;1335000000;-254000000;;1081000000;914000000;1995000000;1995000000
AFG;485236;USD;2022;FY;2022-12-31;2023-02-24;2025-02-25;86345246;89200000;7040000000;-3629000000;1693000000;1123000000;-225000000;;898000000;;898000000;898000000
AFG;485236;USD;2023;FY;2023-12-31;2024-02-23;2026-02-25;84700000;84800000;7827000000;-4033000000;1859000000;1073000000;-221000000;;852000000;;852000000;852000000
AFG;485236;USD;2024;FY;2024-12-31;2025-02-25;2026-02-25;83900000;83900000;8324000000;-4460000000;1857000000;1124000000;-237000000;;887000000;;887000000;887000000
AFL;62581;USD;2020;FY;2020-12-31;2021-02-23;2023-02-24;713702000;716192000;22147000000;-11796000000;4401000000;4159000000;619000000;;4778000000;;4778000000;4778000000
AFL;62581;USD;2021;FY;2021-12-31;2022-02-23;2024-02-22;659100000;662512000;21554000000;-11732000000;5446000000;5208000000;-977000000;;4231000000;;4231000000;4231000000
AFL;62581;USD;2022;FY;2022-12-31;2023-02-24;2025-02-26;673617000;676729000;19140000000;-10004000000;5095000000;4869000000;-451000000;;4418000000;;4418000000;4418000000
AFL;62581;USD;2023;FY;2023-12-31;2024-02-22;2026-02-25;596173000;598745000;18701000000;-9263000000;5457000000;5262000000;-603000000;;4659000000;;4659000000;4659000000
AFL;62581;USD;2024;FY;2024-12-31;2025-02-26;2026-02-25;562492000;565015000;18927000000;-8448000000;6614000000;6417000000;-974000000;;5443000000;;5443000000;5443000000
AGO;601095;USD;2020;FY;2020-12-31;2021-02-26;2023-03-01;85500000;86200000;919000000;-203000000;275000000;413000000;-45000000;;368000000;;362000000;362000000
AGO;601095;USD;2021;FY;2021-12-31;2022-02-25;2024-02-28;67518424;74300000;838000000;220000000;649000000;477000000;-58000000;;419000000;;389000000;389000000
