company,row_type,category,metric,cost,benefit,unit,model_release,upright_url
BLACKROCK,category_total,Society,Society,-0.4,+7.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,category_total,Knowledge,Knowledge,-6.3,+1.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,category_total,Health,Health,-0.5,+1.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,category_total,Environment,Environment,-2.7,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Society,Taxes,,+3.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Society,Jobs,,+1.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Society,Societal infrastructure,,+1.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Society,Equality & human rights,-0.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Society,Societal stability,-0.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Knowledge,Scarce human capital,-6.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Knowledge,Knowledge infrastructure,,+0.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Knowledge,Creating knowledge,,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Knowledge,Distributing knowledge,,+0.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Health,Physical diseases,-0.4,+0.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Health,Mental diseases,-0.1,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Health,Nutrition,,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Health,Relationships,,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Health,Meaning & joy,-0.0,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Environment,GHG emissions,-1.3,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Environment,Non-GHG emissions,-0.4,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Environment,Scarce natural resources,-0.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Environment,Biodiversity,-0.5,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
BLACKROCK,submetric,Environment,Waste,-0.4,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/
EOG RESOURCES,category_total,Society,Society,-2.5,+18.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,category_total,Knowledge,Knowledge,-2.6,+1.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,category_total,Health,Health,-5.2,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
