company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
ABBOTT LABORATORIES,Pharmaceuticals and Biotechnology,United States of America,"41,950.00 M$","114,000 employees",+55%,16%,84.17,GHG emissions 3.13M tons of GHG emissions,Physical diseases 457k life years,1.12.0,https://uprightplatform.com/company/bae297bf-d5af-4d2c-95cd-a2840722dec4/Abbott%20Laboratories/,2026-09-13T02:02:01.098424+00:00
BEST BUY,Retail,United States of America,"41,528.00 M$","85,000 employees",-25%,79%,21.74,GHG emissions 6.02M tons of GHG emissions,Taxes 44.7M days of primary education,1.12.0,https://uprightplatform.com/company/8765771b-f4ee-4a48-a191-88a98e4c49ac/Best%20Buy/,2026-09-13T02:02:04.496068+00:00
LYONDELLBASELL INDUSTRIES,Chemicals,United Kingdom,"40,734.00 M$","18,970 employees",-132%,98%,2.39,GHG emissions 10.7M tons of GHG emissions,Societal infrastructure 42.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/2c6e53da-9b61-47e5-96c4-6aceeb2688ef/LyondellBasell%20Industries/,2026-09-13T02:02:07.963196+00:00
DOLLAR GENERAL,Retail,United States of America,"40,612.00 M$","194,200 employees",-70%,91%,9.65,Physical diseases 303k life years,Taxes 42.4M days of primary education,1.12.0,https://uprightplatform.com/company/b0bba363-48ba-4fc0-9491-097e5ffe6d4e/Dollar%20General/,2026-09-13T02:02:11.618664+00:00
WARNER BROS. DISCOVERY,Media,United States of America,"39,321.00 M$","35,000 employees",+9%,60%,40.75,Scarce human capital 21.6k scarce worker years,Taxes 33.1M days of primary education,1.12.0,https://uprightplatform.com/company/99ef7c3d-5b55-4c21-898d-89d94cde4508/Warner%20Bros.%20Discovery/,2026-09-13T02:02:15.016040+00:00
SALESFORCE,Computer Software,United States of America,"37,895.00 M$","83,334 employees",+35%,37%,63.49,Scarce human capital 38.1k scarce worker years,Taxes 43.9M days of primary education,1.12.0,https://uprightplatform.com/company/71233f77-d7e1-4403-94ac-2bf4ab356b86/Salesforce/,2026-09-13T02:02:18.623570+00:00
MONDELEZ,Food and Beverage,United States of America,"36,441.00 M$","90,000 employees",-131%,98%,2.49,Physical diseases 348k life years,Taxes 23.0M days of primary education,1.12.0,https://uprightplatform.com/company/731a2224-3710-4eef-9625-1e57f4f69172/Mondelez/,2026-09-13T02:02:21.957152+00:00
STARBUCKS,Food and Beverage,United States of America,"36,176.00 M$","361,000 employees",-85%,93%,7.06,Physical diseases 302k life years,Jobs 240k direct or indirect jobs,1.12.0,https://uprightplatform.com/company/522999b6-e702-427b-a439-9b65fc8c0ab1/Starbucks/,2026-09-13T02:02:25.076667+00:00
VISA,Financial Services,United States of America,"35,926.00 M$","31,600 employees",+17%,53%,47.87,Scarce human capital 31.9k scarce worker years,Taxes 23.3M days of primary education,1.12.0,https://uprightplatform.com/company/3a340c69-583e-4dba-9377-df1c4fc2d2dc/Visa/,2026-09-13T02:02:28.163299+00:00
CBRE,Real Estate,United States of America,"35,767.00 M$","140,000 employees",+24%,47%,53.89,GHG emissions 4.49M tons of GHG emissions,Taxes 32.9M days of primary education,1.12.0,https://uprightplatform.com/company/4124cab7-62a3-4cd1-9170-705eb28e4812/CBRE/,2026-09-13T02:02:31.447636+00:00
