company,row_type,category,metric,cost,benefit,unit,model_release,upright_url
MARKETAXESS,category_total,Society,Society,-0.3,+10.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,category_total,Knowledge,Knowledge,-6.6,+2.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,category_total,Health,Health,-0.4,+0.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,category_total,Environment,Environment,-2.4,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Society,Taxes,,+4.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Society,Jobs,,+2.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Society,Societal infrastructure,,+3.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Society,Equality & human rights,-0.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Society,Societal stability,-0.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Knowledge,Scarce human capital,-6.6,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Knowledge,Knowledge infrastructure,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Knowledge,Creating knowledge,,+1.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Knowledge,Distributing knowledge,,+0.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Health,Physical diseases,-0.3,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Health,Mental diseases,-0.1,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Health,Nutrition,,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Health,Relationships,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Health,Meaning & joy,-0.1,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Environment,GHG emissions,-1.3,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Environment,Non-GHG emissions,-0.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Environment,Scarce natural resources,-0.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Environment,Biodiversity,-0.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
MARKETAXESS,submetric,Environment,Waste,-0.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ccaaf3ee-5810-4857-89a3-954e9c267e8c/Marketaxess/
